protein,dms,model_name,corr,pval
dms_calm1,DMS_flipped,DeepSequence,0.3062765620647369,1.1183901491415715e-40
dms_calm1,DMS_flipped,esm1b,0.2411329605578252,2.1349047024145785e-25
dms_calm1,DMS_flipped,tape,0.1837588863787141,3.1157693559656595e-15
dms_calm1,DMS,tape,0.14116342509631433,1.5724755846847342e-09
dms_cas9,DMS_negative,DeepSequence,0.004848793568882744,0.8142239894810064
dms_cas9,DMS_negative,esm1b,0.019882347442963716,0.3352363987916449
dms_cas9,DMS_negative,tape,0.0017998143087917923,0.930495483814439
dms_cas9,DMS_positive,DeepSequence,0.22851529628747885,3.1452919781422375e-29
dms_cas9,DMS_positive,esm1b,0.25174063364542354,2.616248848917196e-35
dms_cas9,DMS_positive,tape,0.013428066105036005,0.5151941820882274
dms_ccdb,DMS,DeepSequence,0.39935197001268213,2.970528636274949e-46
dms_ccdb,DMS,esm1b,0.3205604698358926,1.6427840699544258e-29
dms_ccdb,DMS,tape,0.03841389358920709,0.18803743673704723
dms_env,DMS,DeepSequence,0.1364977788639145,1.536058038113284e-54
dms_env,DMS,esm1b,0.2272539325101877,2.5333673461889216e-150
dms_env,DMS,tape,0.009493047850815815,0.2816700766963991
dms_gal4,DMS_nonsel_24,DeepSequence,0.3979461745420211,1.1526528473140733e-46
dms_gal4,DMS_nonsel_24,esm1b,0.3954970829208451,4.594996941953927e-46
dms_gal4,DMS_nonsel_24,tape,0.13846766199724272,1.533464149426537e-06
dms_gal4,DMS_selA_24,DeepSequence,0.5077841116273563,2.197956283330219e-79
dms_gal4,DMS_selA_24,esm1b,0.6021526297236494,6.636979147007923e-119
dms_gal4,DMS_selA_24,tape,0.09553936898612943,0.0009390606210724916
dms_gal4,DMS_selA_40,DeepSequence,0.4989766996660709,2.684745377616402e-76
dms_gal4,DMS_selA_40,esm1b,0.5967951813034778,2.6637849907712347e-116
dms_gal4,DMS_selA_40,tape,0.094348905947577,0.001087828756169173
dms_gal4,DMS_selB_40,DeepSequence,0.5227932922761602,7.38773187763028e-85
dms_gal4,DMS_selB_40,esm1b,0.5853487624876157,6.706335605087413e-111
dms_gal4,DMS_selB_40,tape,0.11369030079182753,8.132918607221386e-05
